x1,x2,x3,x4,x5
1.0,0.796875,0.93069307,0.04477612,-0.0
2.0,0.796875,0.93069307,0.04477612,-0.0
3.0,0.8125,0.92079208,0.05223881,-0.0
4.0,0.78125,0.89108911,0.02985075,-0.0
5.0,0.75,0.91089109,0.02985075,-0.0
6.0,0.765625,0.92079208,0.03731343,-0.0
7.0,0.765625,0.9009901,0.03731343,-0.0
8.0,0.765625,0.92079208,0.02985075,-0.0
9.0,0.71875,0.89108911,0.03731343,-0.0
10.0,0.71875,0.88118812,0.03731343,-0.0
11.0,0.765625,0.8019802,0.03731343,-0.0
12.0,0.75,0.57425743,0.02238806,-0.0
13.0,0.625,0.43564356,0.00746269,-0.0
14.0,0.3125,0.34653465,0.0,-0.0
15.0,-0.0,0.15841584,0.05223881,-0.0
16.0,-0.0,0.0,0.20149254,0.24242424
17.0,-0.0,0.0,0.21641791,0.48484848
18.0,-0.0,0.0,0.2761194,0.68181818
19.0,-0.0,0.0,0.35820896,0.74242424
20.0,-0.0,0.0,0.47761194,0.75757576
21.0,-0.0,0.0,0.63432836,0.75757576
22.0,-0.0,0.0,0.67910448,0.77272727
23.0,-0.0,0.0,0.70895522,0.81818182
24.0,-0.0,0.0,0.73134328,0.81818182
