x1,x2,x3,x4,x5
1.0,0.0,0.0,-0.0,0.0
2.0,0.0,0.0,-0.0,0.0
3.0,0.0,0.0,-0.0,0.0
4.0,0.0,0.0,-0.0,0.0
5.0,0.0,0.0,-0.0,0.0
6.0,0.0,0.0,-0.0,0.0
7.0,0.00320247,0.00016548,0.00018355,0.00288408
8.0,0.05753409,0.0088911,0.01129894,0.05617942
9.0,0.21715737,0.09920894,0.09816839,0.21564606
10.0,0.39417084,0.28555475,0.27997821,0.40416979
11.0,0.5508685,0.4690766,0.46188342,0.55692336
12.0,0.66780495,0.60294396,0.6076581,0.66273795
13.0,0.72391048,0.66531076,0.67130361,0.72603778
14.0,0.72316953,0.68743745,0.67036745,0.72732693
15.0,0.67781176,0.6373941,0.64770464,0.68635597
16.0,0.59520129,0.55154599,0.54793152,0.62233237
17.0,0.4978301,0.40052647,0.40727008,0.49998006
18.0,0.32157809,0.21023645,0.22141753,0.33585354
19.0,0.15031735,0.0424462,0.0553369,0.14995301
20.0,0.02701209,0.00225951,0.00249795,0.02573527
21.0,0.0,0.0,-0.0,0.0
22.0,0.0,0.0,-0.0,0.0
23.0,0.0,0.0,-0.0,0.0
24.0,0.0,0.0,-0.0,0.0
