x1,x2,x3,x4,x5
1.0,0.59375,0.65346535,0.02238806,0.0
2.0,0.671875,0.64356436,0.01492537,0.0
3.0,0.578125,0.62376238,0.01492537,0.0
4.0,0.625,0.63366337,0.01492537,0.0
5.0,0.609375,0.65346535,0.0,0.0
6.0,0.59375,0.65346535,0.0,0.0
7.0,0.609375,0.65346535,0.0,0.0
8.0,0.59375,0.64356436,0.0,0.0
9.0,0.59375,0.62376238,0.0,0.0
10.0,0.640625,0.63366337,0.0,0.0
11.0,0.640625,0.44554455,0.0,0.0
12.0,0.515625,0.31683168,0.0,0.0
13.0,0.21875,0.20792079,0.0,0.0
14.0,-0.0,0.00990099,0.0,0.0
15.0,-0.0,0.0,0.05970149,0.03030303
16.0,-0.0,0.0,0.23880597,0.24242424
17.0,-0.0,0.0,0.2761194,0.5
18.0,-0.0,0.0,0.35074627,0.53030303
19.0,-0.0,0.0,0.45522388,0.59090909
20.0,-0.0,0.0,0.52238806,0.62121212
21.0,-0.0,0.0,0.53731343,0.62121212
22.0,-0.0,0.0,0.55223881,0.62121212
23.0,-0.0,0.0,0.52238806,0.57575758
24.0,-0.0,0.0,0.51492537,0.59090909
